,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
0,44003.50972,2.29E+15,0,0,2.86,1,1,1,1,1,1,29209,33.9659,-80.9355,333497,1,24916,1,1371816865,33.986391,-81.200714,0
1,44003.50972,3.57E+15,1,0,29.84,2,2,2,2,2,2,84002,40.3207,-110.436,302,2,32890,2,1371816873,39.450498,-109.960431,0
2,44003.50972,3.60E+15,2,1,41.28,3,3,2,3,3,3,11710,40.6729,-73.5365,34496,3,25862,3,1371816893,40.49581,-74.196111,0
3,44003.51042,3.59E+15,3,2,60.05,4,2,1,4,4,4,32780,28.5697,-80.8191,54767,4,31983,4,1371816915,28.812398,-80.883061,0
4,44003.51042,3.53E+15,4,3,3.19,5,4,1,5,5,5,49632,44.2529,-85.017,1126,5,20276,5,1371816917,44.959148,-85.884734,0
5,44003.51042,3.04E+13,5,4,19.55,6,5,2,6,6,3,14816,42.1939,-76.7361,520,6,33524,6,1371816937,41.747157,-77.584197,0
6,44003.51042,2.13E+14,6,1,133.93,7,6,2,7,7,6,95528,40.507,-123.9743,1139,7,18643,7,1371816944,41.499458,-124.888729,0
7,44003.51042,3.59E+15,7,0,10.37,8,7,2,8,8,7,57374,43.7557,-97.5936,343,8,26363,8,1371816950,44.495498,-97.728453,0
8,44003.51111,3.60E+15,8,5,4.37,9,8,1,9,9,8,16858,41.0001,-78.2357,3688,9,26811,9,1371816970,41.546067,-78.120238,0
9,44003.51111,3.55E+15,9,6,66.54,7,9,2,10,10,9,76678,31.6591,-96.8094,263,10,20605,10,1371816971,31.782919,-96.366185,0
10,44003.51111,2.24E+15,10,6,7.01,10,10,1,11,11,10,40077,38.4921,-85.4524,564,11,35165,11,1371816980,38.977546,-84.727994,0
11,44003.51111,5.71E+11,11,4,42.4,11,11,1,12,12,11,82514,43.0048,-108.8964,1645,12,27816,12,1371817007,42.687774,-108.670054,0
12,44003.51181,6.59E+15,12,7,2.91,12,12,2,13,13,4,33470,26.7383,-80.276,26551,13,28129,13,1371817041,26.07846,-80.569932,0
13,44003.5125,4.99E+12,13,6,7.93,13,13,1,14,14,3,12575,41.4575,-74.1659,2258,14,13591,14,1371817107,40.71168,-73.668384,0
14,44003.5125,6.01E+15,14,4,2.91,3,14,2,15,15,12,36749,32.5104,-86.8138,1089,15,26239,15,1371817117,32.721131,-87.253846,0
15,44003.5125,4.57E+15,15,8,24.73,14,15,2,16,16,4,32725,28.8989,-81.2473,88735,16,32242,16,1371817121,29.83155,-80.926829,0
16,44003.5125,4.91E+18,16,5,2.33,15,16,1,17,17,4,33040,24.6557,-81.3824,32891,17,31821,17,1371817134,24.306325,-81.065169,0
17,44003.51319,4.91E+15,17,4,16.6,16,17,2,18,18,9,76050,32.2779,-97.2351,5875,18,33809,18,1371817190,33.182349,-97.919284,0
18,44003.51319,4.86E+18,18,8,80.11,3,18,2,19,19,13,70774,30.2385,-90.8435,10076,19,28475,19,1371817196,30.44999,-89.930996,0
19,44003.51389,6.54E+15,19,0,5.71,17,19,2,20,20,8,16114,41.3851,-80.1752,606,20,35695,20,1371817213,40.508064,-79.615158,0
20,44003.51389,2.28E+15,20,3,8.53,18,2,2,21,21,14,30009,34.077,-84.3033,165556,21,35791,21,1371817234,33.195225,-84.119083,0
